name,symbol,country,indice
Cigna,CI,united states,S&P 500
Agilent Technologies,A,united states,S&P 500
Newell Brands,NWL,united states,S&P 500
Incyte,INCY,united states,S&P 500
WEC Energy,WEC,united states,S&P 500
Cerner,CERN,united states,S&P 500
Akamai,AKAM,united states,S&P 500
Dollar General,DG,united states,S&P 500
Ingersoll Rand,IR,united states,S&P 500
Goldman Sachs,GS,united states,S&P 500
Broadcom,AVGO,united states,S&P 500
Foot Locker,FL,united states,S&P 500
Hologic,HOLX,united states,S&P 500
Laboratory America,LH,united states,S&P 500
Nasdaq Inc,NDAQ,united states,S&P 500
Norfolk Southern,NSC,united states,S&P 500
Kellogg,K,united states,S&P 500
Chubb,CB,united states,S&P 500
Adobe,ADBE,united states,S&P 500
Ross Stores,ROST,united states,S&P 500
Qorvo Inc,QRVO,united states,S&P 500
DISH Network,DISH,united states,S&P 500
Molson Coors Brewing B,TAP,united states,S&P 500
Kimberly-Clark,KMB,united states,S&P 500
Air Products,APD,united states,S&P 500
Under Armour C,UA,united states,S&P 500
Quanta Services,PWR,united states,S&P 500
CMS Energy,CMS,united states,S&P 500
Welltower,WELL,united states,S&P 500
Macerich,MAC,united states,S&P 500
WestRock Co,WRK,united states,S&P 500
Baxter,BAX,united states,S&P 500
Sherwin-Williams,SHW,united states,S&P 500
Lincoln National,LNC,united states,S&P 500
Marsh McLennan,MMC,united states,S&P 500
ADP,ADP,united states,S&P 500
Eaton,ETN,united states,S&P 500
Zoetis Inc,ZTS,united states,S&P 500
Intuit,INTU,united states,S&P 500
Simon Property,SPG,united states,S&P 500
Perrigo,PRGO,united states,S&P 500
Omnicom,OMC,united states,S&P 500
PerkinElmer,PKI,united states,S&P 500
Vornado,VNO,united states,S&P 500
Aon,AON,united states,S&P 500
Lennar,LEN,united states,S&P 500
Discover,DFS,united states,S&P 500
Stryker,SYK,united states,S&P 500
Take-Two,TTWO,united states,S&P 500
Jack Henry&Associates,JKHY,united states,S&P 500
Edison,EIX,united states,S&P 500
Lockheed Martin,LMT,united states,S&P 500
Alphabet A,GOOGL,united states,S&P 500
Illinois Tool Works,ITW,united states,S&P 500
Quest Diagnostics,DGX,united states,S&P 500
Estee Lauder,EL,united states,S&P 500
M&T Bank,MTB,united states,S&P 500
Digital,DLR,united states,S&P 500
Crown Castle,CCI,united states,S&P 500
Lam Research,LRCX,united states,S&P 500
Prudential Financial,PRU,united states,S&P 500
Linde PLC,LIN,united states,S&P 500
Pioneer Natural,PXD,united states,S&P 500
Entergy,ETR,united states,S&P 500
Sealed Air,SEE,united states,S&P 500
Deere&Company,DE,united states,S&P 500
Travelers,TRV,united states,S&P 500
American Tower,AMT,united states,S&P 500
Anthem,ANTM,united states,S&P 500
Sempra Energy,SRE,united states,S&P 500
Republic Services,RSG,united states,S&P 500
UDR,UDR,united states,S&P 500
Duke,DRE,united states,S&P 500
General Dynamics,GD,united states,S&P 500
Equity Residential,EQR,united states,S&P 500
LKQ,LKQ,united states,S&P 500
Parker-Hannifin,PH,united states,S&P 500
Intuitive Surgical,ISRG,united states,S&P 500
PACCAR,PCAR,united states,S&P 500
FleetCor,FLT,united states,S&P 500
Illumina,ILMN,united states,S&P 500
IFF,IFF,united states,S&P 500
Vertex,VRTX,united states,S&P 500
Comerica,CMA,united states,S&P 500
AO Smith,AOS,united states,S&P 500
Eastman Chemical,EMN,united states,S&P 500
Thermo Fisher Scientific,TMO,united states,S&P 500
Celanese,CE,united states,S&P 500
Constellation Brands A,STZ,united states,S&P 500
Arthur J Gallagher,AJG,united states,S&P 500
Iqvia,IQV,united states,S&P 500
Fortive,FTV,united states,S&P 500
Alphabet C,GOOG,united states,S&P 500
Copart,CPRT,united states,S&P 500
Biogen,BIIB,united states,S&P 500
Ecolab,ECL,united states,S&P 500
Motorola,MSI,united states,S&P 500
Eversource Energy,ES,united states,S&P 500
Alliant Energy,LNT,united states,S&P 500
Harley-Davidson,HOG,united states,S&P 500
Verisk,VRSK,united states,S&P 500
DXC Technology,DXC,united states,S&P 500
Fox Corp B,FOX,united states,S&P 500
Yum! Brands,YUM,united states,S&P 500
Atmos Energy,ATO,united states,S&P 500
Zions,ZION,united states,S&P 500
Clorox,CLX,united states,S&P 500
Apartment Invest,AIV,united states,S&P 500
Synopsys,SNPS,united states,S&P 500
Whirlpool,WHR,united states,S&P 500
